OID_,FID_1,Longitude,Latitude
564,564.000000000000000,100.463346095999995,37.521391739000002
565,565.000000000000000,100.463346095999995,37.621391739000003
566,566.000000000000000,100.463346095999995,37.721391738999998
567,567.000000000000000,100.463346095999995,37.821391738999999
568,568.000000000000000,100.463346095999995,37.921391739000001
569,569.000000000000000,100.463346095999995,38.021391739000002
570,570.000000000000000,100.463346095999995,38.121391739000003
571,571.000000000000000,100.463346095999995,38.221391738999998
572,572.000000000000000,100.463346095999995,38.321391738999999
573,573.000000000000000,100.463346095999995,38.421391739000001
666,666.000000000000000,100.563346096000004,36.321391738999999
667,667.000000000000000,100.563346096000004,36.421391739000001
668,668.000000000000000,100.563346096000004,36.521391739000002
669,669.000000000000000,100.563346096000004,36.621391739000003
670,670.000000000000000,100.563346096000004,36.721391738999998
671,671.000000000000000,100.563346096000004,36.821391738999999
